id	gold	rater1	rater2	rater3
newspapers/courts/28.09.99/head/head593_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips288_times	nonplagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/21.06.00/blast/blast781_express	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/01.03.00/francis/francis380_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/farmer/farmer763_guardian	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/27.01.00/drink/drink720_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/03.04.00/fraud/fraud480_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/27.01.00/webber/webber136_telegraph	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/showbiz/13.08.99/spicefestival/spicefestival79_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/04.10.99/raider/raider253_telegraph	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/18.02.00/presenter/presenter547_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/29.03.00/lavin/lavin435_sun	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/showbiz/21.06.00/madeley/madeley100_mirror	plagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/17.04.00/nursery/nursery740_star	nonplagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/04.10.99/zoo/zoo240_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.02.00/sewage/sewage518_times	nonplagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/29.03.00/ruling/ruling451_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/26.01.00/driver/driver679_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/07.10.99/hamilton/hamilton259_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/07.01.00/soldier/soldier559_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/21.06.00/madeley/madeley99_sun	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/09.08.99/stretch/stretch18_sun	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/07.10.99/knickers/knickers234_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/07.01.00/depp/depp143_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/27.01.00/drink/drink726_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/10.08.99/enfield/enfield53_times	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/21.02.00/sewage/sewage523_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/nursery/nursery745_express	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/27.09.99/lottery/lottery115_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/12.08.99/street/street67_star	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/informant/informant769_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/12.08.99/street/street64_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.07.99/lovers/lovers6_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.07.99/lovers/lovers22_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/07.10.99/hamilton/hamilton256_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.07.99/walker/walker30_express	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/14.12.99/christmas/christmas167_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/16.07.99/transplant/transplant116_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/04.10.99/raider/raider227_star	plagiarism	nonplagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/boy/boy427_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/03.04.00/harass/harass492_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/nursery/nursery768_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/18.02.00/cars/cars545_telegraph	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/13.08.99/spice/spice77_sun	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/oasis/oasis142_sun	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/09.08.99/saints/saints20_sun	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/14.12.99/christmas/christmas164_sun	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/04.10.99/doctor/doctor233_express	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder76_independent	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/27.01.00/drink/drink704_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/17.04.00/vanessa/vanessa767_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/18.02.00/cab/cab548_telegraph	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/21.06.00/beckham/beckham108_independent	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/29.03.00/ruling/ruling447_times	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/14.07.99/lara/lara222_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/28.09.99/brothel/brothel572_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/21.06.00/blast/blast777_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/15.03.00/baby/baby400_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/27.01.00/lamarr/lamarr123_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/15.03.00/baby/baby413_independent	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/14.12.99/inqbryant/inqbryant418_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.08.99/traveller/traveller179_mail	nonplagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/01.03.00/francis/francis390_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/16.07.99/baby/baby118_telegraph	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/09.08.99/bennett/bennett167_telegraph	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/14.07.99/lara/lara223_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/boy/boy428_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/farmer/farmer739_mirror	nonplagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/27.01.00/damages/damages722_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/14.12.99/united/united178_independent	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/12.07.99/silverstone/silverstone37_times	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/21.06.00/fairbrass/fairbrass103_star	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/21.06.00/madeley/madeley102_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/07.01.00/street/street141_sun	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/showbiz/12.08.99/street/street59_sun	nonplagiarism	nonplagiarism	nonplagiarism	plagiarism
newspapers/courts/21.02.00/sewage/sewage509_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/21.02.00/sewage/sewage515_express	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/26.01.00/blood/blood681_times	plagiarism	plagiarism	nonplagiarism	plagiarism
newspapers/showbiz/21.06.00/steps/steps101_mirror	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/08.12.99/city/city373_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/01.03.00/wagstaff/wagstaff384_express	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips306_independent	nonplagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/09.08.99/royal/royal160_telegraph	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/18.02.00/abuse/abuse555_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/21.06.00/steps/steps105_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/vanessa/vanessa750_mail	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/boy/boy430_independent	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/01.03.00/football/football382_star	plagiarism	plagiarism	plagiarism	nonplagiarism
newspapers/courts/01.03.00/wagstaff/wagstaff381_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips282_mail	nonplagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/02.11.99/chips/chips286_express	nonplagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/18.02.00/cars/cars535_star	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/nursery/nursery737_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/16.07.99/torture/torture72_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/27.09.99/beegees/beegees120_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/01.03.00/francis/francis375_sun	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/blackadder/blackadder74_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/17.04.00/informant/informant762_telegraph	nonplagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/courts/28.09.99/brothel/brothel580_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/09.08.99/saints/saints23_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/14.12.99/australia/australia417_mirror	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/spice/spice65_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/granny/granny186_times	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/04.10.99/pensioners/pensioners245_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/09.08.99/camera/camera157_times	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/27.09.99/spice/spice118_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/12.08.99/street/street70_mail	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/12.07.99/strangle/strangle18_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.07.99/policeman/policeman16_star	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/showbiz/14.07.99/thomas/thomas86_sun	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/17.04.00/farmer/farmer743_star	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/21.06.00/gallagher/gallagher97_sun	plagiarism	nonplagiarism	plagiarism	nonplagiarism
newspapers/showbiz/27.09.99/spicemel/spicemel117_star	plagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/01.03.00/francis/francis388_times	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/courts/04.10.99/pensioners/pensioners236_express	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/29.03.00/ruling/ruling456_independent	nonplagiarism	nonplagiarism	nonplagiarism	nonplagiarism
newspapers/courts/07.01.00/giggs/giggs560_mirror	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/01.03.00/diver/diver396_guardian	plagiarism	plagiarism	plagiarism	plagiarism
newspapers/courts/12.08.99/traveller/traveller176_star	plagiarism	plagiarism	nonplagiarism	nonplagiarism
newspapers/showbiz/07.01.00/street/street153_telegraph	plagiarism	plagiarism	plagiarism	plagiarism
